user_id,item_id
0,1422 2275 1461 3699 980 1052 1951 1014 2555 3214
1,232 3101 3656 1246 1686 1822 452 1459 1884 2467
2,2311 382 2774 234 1781 2424 221 724 2354 2428
3,1560 409 989 1223 487 124 707 1315 3272 3013
4,394 983 1191 3667 1044 1160 3598 755 2237 3602
5,3345 2887 1174 1461 2490 1044 2218 394 2881 3002
6,702 2227 2363 3035 762 3404 802 1902 1545 1670
7,3598 1191 1287 76 394 3660 2397 3591 983 3685
8,3101 232 79 2345 1700 3406 1822 3600 2518 1686
9,423 2306 1353 309 1045 3670 1341 289 717 1924
10,1956 3367 3628 472 3656 166 1678 1615 1633 1781
11,3597 2308 1840 530 1184 3036 3067 2620 947 1678
12,3671 3534 474 220 58 3202 99 3606 621 1669
13,279 2488 2290 772 2474 2877 320 3668 971 1403
14,3119 3231 3415 1984 2132 2622 2639 427 2382 3168
15,763 2646 2512 2991 3151 1638 3418 1223 2664 989
16,1201 295 2215 2298 959 898 1777 3157 1311 3194
17,1746 944 293 2626 3317 3441 3534 3528 1030 2328
18,1044 1603 1936 3371 609 493 1839 2541 2338 3204
19,3656 2345 1700 3406 1459 3101 79 3276 1337 1246
20,508 863 1382 561 1848 1371 3402 1227 2774 2844
21,1656 1054 3375 628 1622 1582 2022 1919 224 1626
22,605 956 2291 2947 1555 1149 2908 691 2706 1787
23,3051 530 1814 1045 3215 1040 3335 2768 2221 20
24,1011 1403 3151 2828 184 320 1511 409 3013 28
25,619 3569 1309 831 41 2465 3511 1073 2915 2289
26,476 1858 208 2387 2088 3116 3353 1371 2054 37
27,2129 3005 2128 2980 1809 3327 2757 3463 2222 872
28,2980 944 2768 293 1304 1546 650 3036 119 3472
29,750 2009 3653 395 187 2230 3537 573 1413 2477
30,2024 859 3228 2140 3362 402 2538 3513 3325 3546
31,3532 2176 3298 2763 517 1644 1848 784 617 1652
32,1223 1543 732 3013 1279 1316 2564 472 3153 3423
33,3409 472 3153 1316 2564 3272 1543 2862 707 732
34,3382 2745 601 1401 2210 2630 3694 1300 2501 2840
35,3013 3151 1223 1186 3692 2603 2828 2745 772 3272
36,3013 2564 1223 1316 1039 3272 3153 472 1583 2688
37,2924 3025 1951 163 2405 1332 2555 2456 1422 764
38,1704 3454 1009 1514 1087 873 17 1357 3545 2644
39,2354 1427 512 2428 2311 1947 724 234 3687 1827
40,1868 107 1545 2653 2771 3187 739 3311 1037 488
41,279 2337 3427 3400 771 2967 2488 1568 794 1090
42,1619 2761 3007 1480 17 1076 711 2025 3194 1518
43,498 2710 2248 1410 870 846 383 3062 1593 620
44,1223 3013 2603 1560 3382 2862 472 1186 3423 1543
45,543 3049 2633 2626 1078 2659 2757 3048 1913 2314
46,2093 1619 1518 2492 3194 20 1509 481 1587 2027
47,2274 2892 2914 3101 1700 2345 1337 2504 778 540
48,3276 1868 778 1348 857 1670 1545 810 1337 802
49,640 409 1831 2054 69 2265 1811 476 305 2606
50,2874 220 646 339 2956 99 1711 1879 81 1554
51,3119 3231 3677 2139 2382 1319 2005 465 2622 1984
52,2049 157 40 2545 1818 827 1094 1310 2755 2970
53,28 1360 1548 2293 10 829 1930 3272 401 22
